Entity,Code,Day,Temperature anomaly
Brazil,BRA,1986-01-15,-0.59324837
Brazil,BRA,1986-02-15,-0.6712837
Brazil,BRA,1986-03-15,-0.7260151
Brazil,BRA,1986-04-15,-0.2178421
Brazil,BRA,1986-05-15,-0.0005207062
Brazil,BRA,1986-06-15,-0.7121048
Brazil,BRA,1986-07-15,-0.8457432
Brazil,BRA,1986-08-15,-0.48815346
Brazil,BRA,1986-09-15,-1.3627071
Brazil,BRA,1986-10-15,-1.3579578
Brazil,BRA,1986-11-15,-0.48992157
Brazil,BRA,1986-12-15,-0.47421074
Brazil,BRA,1987-01-15,-0.17251968
Brazil,BRA,1987-02-15,-0.045173645
Brazil,BRA,1987-03-15,-0.31494713
Brazil,BRA,1987-04-15,0.036193848
Brazil,BRA,1987-05-15,-0.14938354
Brazil,BRA,1987-06-15,-0.25455475
Brazil,BRA,1987-07-15,0.7906971
Brazil,BRA,1987-08-15,-0.41677284
Brazil,BRA,1987-09-15,-0.37945557
Brazil,BRA,1987-10-15,0.0564003
Brazil,BRA,1987-11-15,0.13251305
Brazil,BRA,1987-12-15,0.075704575
Brazil,BRA,1988-01-15,0.18039322
Brazil,BRA,1988-02-15,-0.08502579
Brazil,BRA,1988-03-15,0.09824562
Brazil,BRA,1988-04-15,-0.2258873
Brazil,BRA,1988-05-15,-0.336792
Brazil,BRA,1988-06-15,-0.9693184
Brazil,BRA,1988-07-15,-1.1173973
Brazil,BRA,1988-08-15,-0.399374
Brazil,BRA,1988-09-15,-0.2035656
Brazil,BRA,1988-10-15,-0.7490444
Brazil,BRA,1988-11-15,-0.6368294
Brazil,BRA,1988-12-15,-0.8109875
Brazil,BRA,1989-01-15,-0.77327347
Brazil,BRA,1989-02-15,-0.6238899
Brazil,BRA,1989-03-15,-0.7071266
Brazil,BRA,1989-04-15,-0.49315453
Brazil,BRA,1989-05-15,-0.98587227
Brazil,BRA,1989-06-15,-0.6451378
Brazil,BRA,1989-07-15,-1.1990738
Brazil,BRA,1989-08-15,-0.6503105
Brazil,BRA,1989-09-15,-0.7570076
Brazil,BRA,1989-10-15,-1.0090199
Brazil,BRA,1989-11-15,-0.41573334
Brazil,BRA,1989-12-15,-0.9011097
Brazil,BRA,1990-01-15,-0.26695633
Brazil,BRA,1990-02-15,-0.37119865
Brazil,BRA,1990-03-15,0.02741623
Brazil,BRA,1990-04-15,0.21552658
Brazil,BRA,1990-05-15,-0.31303787
Brazil,BRA,1990-06-15,-0.3800068
Brazil,BRA,1990-07-15,-1.0649128
Brazil,BRA,1990-08-15,-0.63707733
